-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm        41.08%     619.535ms       135.51%        2.044s       1.070ms       4.05 GB     745.18 MB          1910  
                                           aten::matmul         0.27%       4.131ms        76.20%        1.149s       1.445ms       2.34 GB    -196.88 KB           795  
                                              aten::add        10.96%     165.343ms        41.21%     621.390ms     455.231us       3.44 GB       1.06 GB          1365  
                                           aten::linear         0.03%     437.611us        35.72%     538.657ms       8.978ms       1.52 GB           0 B            60  
       autograd::engine::evaluate_function: MmBackward0         0.15%       2.279ms        27.40%     413.209ms       1.145ms     186.64 MB    -477.28 MB           361  
                                            MmBackward0         0.13%       1.999ms        27.08%     408.332ms       1.131ms     638.95 MB          -8 B           361  
                                    aten::tanh_backward         6.58%      99.224ms        19.09%     287.942ms     599.880us       2.18 GB     747.07 MB           480  
                                              aten::mul        13.83%     208.560ms        17.96%     270.781ms     300.868us       2.62 GB       1.95 GB           900  
autograd::engine::evaluate_function: TanhBackwardBac...         2.61%      39.289ms        13.29%     200.357ms       1.484ms     184.57 MB    -578.52 MB           135  
                                             aten::tanh         0.28%       4.183ms        10.64%     160.497ms       1.189ms       1.17 GB       8.79 MB           135  
                                              aten::bmm         1.90%      28.724ms        10.49%     158.145ms       2.259ms     164.25 MB      32.81 MB            70  
                                  TanhBackwardBackward0         0.13%       1.926ms        10.13%     152.727ms       1.131ms     739.06 MB    -447.46 MB           135  
      autograd::engine::evaluate_function: MulBackward0         1.21%      18.297ms         7.12%     107.312ms       1.192ms    -202.15 MB      -1.03 GB            90  
                                            aten::copy_         4.96%      74.811ms         4.98%      75.101ms       7.324us           0 B           0 B         10254  
                                         aten::_to_copy         0.23%       3.543ms         4.31%      64.987ms      51.577us     527.62 MB        -620 B          1260  
                                           MulBackward0         0.05%     744.886us         4.15%      62.614ms     695.707us     738.28 MB           0 B            90  
                                              aten::sum         3.09%      46.569ms         3.71%      55.876ms      98.373us     227.49 MB     227.49 MB           568  
                                            aten::clone         0.54%       8.172ms         2.46%      37.127ms       4.161us     399.99 MB       3.29 MB          8923  
                                           aten::select         1.20%      18.142ms         1.73%      26.018ms       1.032us           0 B           0 B         25200  
                                             prims::add         1.58%      23.864ms         1.65%      24.860ms     127.489us           0 B           0 B           195  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.508s
