-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.60%     686.671us       100.00%     114.213ms      14.277ms      59.05 MB           0 B             8  
                                               der-comp         3.75%       4.284ms        98.33%     112.311ms      14.039ms      57.53 MB    -413.36 MB             8  
                                                forward         2.57%       2.931ms        44.50%      50.825ms       6.353ms     156.56 MB    -156.25 MB             8  
    autograd::engine::evaluate_function: AddmmBackward0         0.24%     278.298us        34.44%      39.335ms     983.369us     157.78 MB           0 B            40  
                                         AddmmBackward0         0.31%     358.746us        34.20%      39.056ms     976.412us     157.78 MB           0 B            40  
                                               aten::mm        33.38%      38.126ms        33.42%      38.165ms     954.127us     157.78 MB     157.78 MB            40  
                                           aten::linear         0.19%     220.060us        24.55%      28.036ms     700.903us     156.56 MB           0 B            40  
                                            aten::addmm        17.71%      20.223ms        23.88%      27.276ms     681.891us     156.56 MB     156.56 MB            40  
                                             aten::tanh        17.39%      19.858ms        17.39%      19.858ms     620.570us     156.25 MB     156.25 MB            32  
     autograd::engine::evaluate_function: TanhBackward0         0.19%     219.981us        15.43%      17.625ms     550.771us     156.25 MB           0 B            32  
                                          TanhBackward0         0.19%     216.216us        15.24%      17.405ms     543.896us     156.25 MB           0 B            32  
                                    aten::tanh_backward        15.05%      17.188ms        15.05%      17.188ms     537.139us     156.25 MB     156.25 MB            32  
                                            aten::copy_         6.04%       6.900ms         6.04%       6.900ms     172.489us           0 B           0 B            40  
                                             aten::rand         0.08%      88.198us         1.06%       1.215ms     151.883us       1.53 MB           0 B             8  
                                                aten::t         0.45%     513.655us         0.94%       1.073ms      13.413us           0 B           0 B            80  
                                         aten::uniform_         0.93%       1.063ms         0.93%       1.063ms     132.882us           0 B           0 B             8  
                                        aten::transpose         0.33%     379.493us         0.49%     559.391us       6.992us           0 B           0 B            80  
                                        aten::ones_like         0.06%      71.444us         0.20%     229.323us      28.665us     312.50 KB           0 B             8  
                                       aten::as_strided         0.18%     203.475us         0.18%     203.475us       1.696us           0 B           0 B           120  
                                           aten::expand         0.08%      86.677us         0.10%     110.254us       2.756us           0 B           0 B            40  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 114.213ms
